,系统I温度 (Temperature of system I),系统II温度 (Temperature of system II),原矿参数1 (Mineral parameter 1),原矿参数2 (Mineral parameter 2),原矿参数3 (Mineral parameter 3),原矿参数4 (Mineral parameter 4),原矿质量
432,745.38,744.73,63.3,132.38,44.08,15.28,436.15999999999997
433,746.06,745.47,63.3,132.38,44.08,15.28,436.15999999999997
434,746.54,745.75,63.3,132.38,44.08,15.28,436.15999999999997
435,878.5,773.81,63.3,132.38,44.08,15.28,420.46
436,878.06,774.17,63.3,132.38,44.08,15.28,420.46
437,879.61,774.14,63.3,132.38,44.08,15.28,420.46
438,878.98,773.83,63.3,132.38,44.08,15.28,417.90999999999997
439,879.88,774.27,63.3,132.38,44.08,15.28,417.90999999999997
440,1159.04,834.49,63.3,132.38,44.08,15.28,417.90999999999997
441,1405.16,888.01,63.3,132.38,44.08,15.28,430.37
442,1404.94,887.78,63.3,132.38,44.08,15.28,430.37
443,1405.29,887.94,63.3,132.38,44.08,15.28,430.37
444,1405.61,888.29,63.3,132.38,44.08,15.28,438.25
445,1405.26,888.17,63.3,132.38,44.08,15.28,438.25
446,1405.16,887.82,63.3,132.38,44.08,15.28,438.25
447,1406.17,888.32,63.3,132.38,44.08,15.28,413.95
448,1273.06,859.43,63.3,132.38,44.08,15.28,413.95
449,1142.03,830.74,63.3,132.38,44.08,15.28,413.95
450,1141.85,831.08,63.3,132.38,44.08,15.28,412.34000000000003
451,1141.94,830.85,63.3,132.38,44.08,15.28,412.34000000000003
452,1141.5,831.1,63.3,132.38,44.08,15.28,412.34000000000003
453,1141.37,830.94,63.3,132.38,44.08,15.28,393.34000000000003
454,1299.54,865.23,63.3,132.38,44.08,15.28,393.34000000000003
455,1300.07,865.04,57.91,101.79,50.17,18.71,393.34000000000003
456,1299.27,864.97,57.91,101.79,50.17,18.71,430.98
457,1299.67,864.97,57.91,101.79,50.17,18.71,430.98
458,1297.81,862.95,57.91,101.79,50.17,18.71,430.98
459,1299.36,865.18,57.91,101.79,50.17,18.71,413.56
460,1404.99,888.5,57.91,101.79,50.17,18.71,413.56
461,1404.77,888.0,57.91,101.79,50.17,18.71,413.56
462,1404.46,888.69,57.91,101.79,50.17,18.71,414.36
463,1405.38,888.21,57.91,101.79,50.17,18.71,414.36
464,1339.76,930.18,57.91,101.79,50.17,18.71,414.36
465,1339.76,930.53,57.91,101.79,50.17,18.71,415.99
466,1340.2,930.86,57.91,101.79,50.17,18.71,415.99
467,1339.89,930.5,57.91,101.79,50.17,18.71,415.99
468,1339.58,930.39,57.91,101.79,50.17,18.71,416.04999999999995
469,1339.71,931.11,57.91,101.79,50.17,18.71,416.04999999999995
470,1340.06,931.55,57.91,101.79,50.17,18.71,416.04999999999995
471,1339.18,931.08,57.91,101.79,50.17,18.71,419.13
472,1338.65,931.28,57.91,101.79,50.17,18.71,419.13
473,1339.66,931.3,57.91,101.79,50.17,18.71,419.13
474,1339.49,854.57,57.91,101.79,50.17,18.71,432.08000000000004
475,1404.01,863.9,57.91,101.79,50.17,18.71,432.08000000000004
476,1402.91,863.23,57.91,101.79,50.17,18.71,432.08000000000004
477,1404.1,863.06,57.91,101.79,50.17,18.71,416.08
478,1395.66,905.11,57.91,101.79,50.17,18.71,416.08
479,1396.42,905.38,55.92,106.07,47.7,20.4,416.08
480,1397.6,905.52,55.92,106.07,47.7,20.4,452.08000000000004
481,1395.84,905.0,55.92,106.07,47.7,20.4,452.08000000000004
482,1395.39,905.05,55.92,106.07,47.7,20.4,452.08000000000004
483,1395.26,905.21,55.92,106.07,47.7,20.4,433.76
484,1395.09,904.96,55.92,106.07,47.7,20.4,433.76
485,1395.88,905.11,55.92,106.07,47.7,20.4,433.76
486,1396.15,905.26,55.92,106.07,47.7,20.4,427.95000000000005
487,1395.7,904.85,55.92,106.07,47.7,20.4,427.95000000000005
488,1394.56,903.85,55.92,106.07,47.7,20.4,427.95000000000005
489,1395.53,905.09,55.92,106.07,47.7,20.4,434.22
490,1395.53,905.25,55.92,106.07,47.7,20.4,434.22
491,1395.35,905.0,55.92,106.07,47.7,20.4,434.22
492,1396.76,905.83,55.92,106.07,47.7,20.4,428.67
493,1395.97,905.46,55.92,106.07,47.7,20.4,428.67
494,1395.66,905.12,55.92,106.07,47.7,20.4,428.67
495,1397.43,905.86,55.92,106.07,47.7,20.4,442.31000000000006
496,1395.13,905.29,55.92,106.07,47.7,20.4,442.31000000000006
497,1395.35,854.85,55.92,106.07,47.7,20.4,442.31000000000006
498,1395.89,905.23,55.92,106.07,47.7,20.4,436.26
499,1395.13,905.11,55.92,106.07,47.7,20.4,436.26
500,1396.54,906.35,55.92,106.07,47.7,20.4,436.26
501,1395.93,905.05,55.92,106.07,47.7,20.4,439.95
502,1395.31,905.18,55.92,106.07,47.7,20.4,439.95
503,1395.04,905.06,54.09,101.96,48.73,22.89,439.95
504,1396.11,905.19,54.09,101.96,48.73,22.89,445.18
505,1396.15,905.1,54.09,101.96,48.73,22.89,445.18
506,1395.61,905.11,54.09,101.96,48.73,22.89,445.18
507,1394.15,904.5,54.09,101.96,48.73,22.89,430.0
508,1396.81,906.31,54.09,101.96,48.73,22.89,430.0
509,1396.41,905.38,54.09,101.96,48.73,22.89,430.0
510,1395.31,904.85,54.09,101.96,48.73,22.89,426.52
511,1396.06,905.41,54.09,101.96,48.73,22.89,426.52
512,1394.5,880.19,54.09,101.96,48.73,22.89,426.52
513,1393.2,879.45,54.09,101.96,48.73,22.89,428.05
514,1393.91,879.72,54.09,101.96,48.73,22.89,428.05
515,1393.58,879.42,54.09,101.96,48.73,22.89,428.05
516,1394.09,879.7,54.09,101.96,48.73,22.89,405.33
517,1395.53,885.69,54.09,101.96,48.73,22.89,405.33
518,1395.92,885.79,54.09,101.96,48.73,22.89,405.33
519,1395.75,885.87,54.09,101.96,48.73,22.89,389.98
520,1395.53,885.75,54.09,101.96,48.73,22.89,389.98
521,1397.34,887.38,54.09,101.96,48.73,22.89,389.98
522,1396.76,887.27,54.09,101.96,48.73,22.89,431.97
523,1395.0,885.72,54.09,101.96,48.73,22.89,431.97
524,1395.7,885.85,54.09,101.96,48.73,22.89,431.97
525,1395.44,886.55,54.09,101.96,48.73,22.89,424.98
526,1149.32,832.42,54.09,101.96,48.73,22.89,424.98
527,1149.81,832.76,61.6,125.34,43.05,16.66,424.98
528,1149.41,832.2,61.6,125.34,43.05,16.66,401.03
529,1149.45,832.15,61.6,125.34,43.05,16.66,401.03
530,1150.03,832.85,61.6,125.34,43.05,16.66,401.03
531,1149.67,832.51,61.6,125.34,43.05,16.66,395.77
532,1148.97,831.66,61.6,125.34,43.05,16.66,395.77
533,1149.86,832.51,61.6,125.34,43.05,16.66,395.77
534,1149.98,832.82,61.6,125.34,43.05,16.66,404.29999999999995
535,1149.81,832.59,61.6,125.34,43.05,16.66,404.29999999999995
536,1150.17,832.72,61.6,125.34,43.05,16.66,404.29999999999995
537,1149.46,832.62,61.6,125.34,43.05,16.66,390.42999999999995
538,1149.63,832.52,61.6,125.34,43.05,16.66,390.42999999999995
539,1149.54,832.33,61.6,125.34,43.05,16.66,390.42999999999995
540,1404.76,888.13,61.6,125.34,43.05,16.66,402.21000000000004
541,1405.34,1019.67,61.6,125.34,43.05,16.66,402.21000000000004
542,1404.77,888.68,61.6,125.34,43.05,16.66,402.21000000000004
543,1405.03,887.68,61.6,125.34,43.05,16.66,416.39
544,1404.9,888.02,61.6,125.34,43.05,16.66,416.39
545,1405.86,889.39,61.6,125.34,43.05,16.66,416.39
546,1273.33,859.13,61.6,125.34,43.05,16.66,422.2
547,1274.65,860.75,61.6,125.34,43.05,16.66,422.2
548,1273.24,859.55,61.6,125.34,43.05,16.66,422.2
549,1395.75,885.89,61.6,125.34,43.05,16.66,412.69
550,1395.53,885.94,61.6,125.34,43.05,16.66,412.69
551,1395.97,886.1,59.72,114.9,45.1,16.44,412.69
552,1396.19,886.29,59.72,114.9,45.1,16.44,436.38
553,1395.97,885.96,59.72,114.9,45.1,16.44,436.38
554,1396.19,887.48,59.72,114.9,45.1,16.44,436.38
555,1394.9,885.62,59.72,114.9,45.1,16.44,414.98
556,1395.26,885.99,59.72,114.9,45.1,16.44,414.98
557,1396.45,1017.32,59.72,114.9,45.1,16.44,414.98
558,1395.31,885.8,59.72,114.9,45.1,16.44,421.33
559,1395.35,885.98,59.72,114.9,45.1,16.44,421.33
560,1395.26,885.85,59.72,114.9,45.1,16.44,421.33
561,1141.89,830.85,59.72,114.9,45.1,16.44,419.89
562,1141.99,830.95,59.72,114.9,45.1,16.44,419.89
563,864.57,770.81,59.72,114.9,45.1,16.44,419.89
564,865.42,771.19,59.72,114.9,45.1,16.44,423.76
565,1159.4,834.76,59.72,114.9,45.1,16.44,423.76
566,1159.53,834.85,59.72,114.9,45.1,16.44,423.76
567,1159.0,834.47,59.72,114.9,45.1,16.44,432.83000000000004
568,1404.73,887.9,59.72,114.9,45.1,16.44,432.83000000000004
569,1404.54,888.38,59.72,114.9,45.1,16.44,432.83000000000004
570,1405.11,887.2,59.72,114.9,45.1,16.44,435.85
571,1160.19,835.46,59.72,114.9,45.1,16.44,435.85
572,1159.31,949.09,59.72,114.9,45.1,16.44,435.85
573,1160.67,835.02,59.72,114.9,45.1,16.44,413.73
574,1159.22,834.5,59.72,114.9,45.1,16.44,413.73
575,1158.56,833.25,58.12,107.43,49.27,17.58,413.73
576,1159.13,835.18,58.12,107.43,49.27,17.58,442.89
577,1160.37,835.61,58.12,107.43,49.27,17.58,442.89
578,1160.24,834.77,58.12,107.43,49.27,17.58,442.89
579,1159.66,834.73,58.12,107.43,49.27,17.58,430.65999999999997
580,1159.71,834.91,58.12,107.43,49.27,17.58,430.65999999999997
581,1160.02,834.94,58.12,107.43,49.27,17.58,430.65999999999997
582,1159.4,834.69,58.12,107.43,49.27,17.58,438.87
583,1159.44,834.9,58.12,107.43,49.27,17.58,438.87
584,1159.66,834.97,58.12,107.43,49.27,17.58,438.87
585,1159.18,834.4,58.12,107.43,49.27,17.58,433.31
586,1159.57,834.93,58.12,107.43,49.27,17.58,433.31
587,599.54,713.33,58.12,107.43,49.27,17.58,433.31
588,599.46,714.52,58.12,107.43,49.27,17.58,425.72
589,599.63,682.85,58.12,107.43,49.27,17.58,425.72
590,600.21,718.07,58.12,107.43,49.27,17.58,425.72
591,871.69,806.47,58.12,107.43,49.27,17.58,437.71999999999997
592,1142.21,854.41,58.12,107.43,49.27,17.58,437.71999999999997
593,1142.2,854.36,58.12,107.43,49.27,17.58,437.71999999999997
594,1141.5,854.36,58.12,107.43,49.27,17.58,427.36
595,1003.17,830.19,58.12,107.43,49.27,17.58,427.36
596,1003.7,830.35,58.12,107.43,49.27,17.58,427.36
597,1003.65,830.82,58.12,107.43,49.27,17.58,417.04
598,1003.79,830.86,58.12,107.43,49.27,17.58,417.04
599,1149.94,856.11,56.74,109.3,47.4,19.98,417.04
600,1149.23,855.87,56.74,109.3,47.4,19.98,421.82000000000005
601,1010.9,831.51,56.74,109.3,47.4,19.98,421.82000000000005
602,724.22,781.67,56.74,109.3,47.4,19.98,421.82000000000005
603,724.57,782.27,56.74,109.3,47.4,19.98,433.07
604,723.16,781.82,56.74,109.3,47.4,19.98,433.07
605,724.53,781.97,56.74,109.3,47.4,19.98,433.07
606,724.0,781.82,56.74,109.3,47.4,19.98,438.97
607,1290.3,880.2,56.74,109.3,47.4,19.98,438.97
608,1404.58,899.86,56.74,109.3,47.4,19.98,438.97
609,1405.33,900.17,56.74,109.3,47.4,19.98,423.51
610,1405.16,899.99,56.74,109.3,47.4,19.98,423.51
611,1404.36,899.83,56.74,109.3,47.4,19.98,423.51
612,1404.85,899.98,56.74,109.3,47.4,19.98,431.36
613,1405.52,900.12,56.74,109.3,47.4,19.98,431.36
614,1405.43,900.71,56.74,109.3,47.4,19.98,431.36
615,1404.81,899.92,56.74,109.3,47.4,19.98,414.96
616,1404.54,899.61,56.74,109.3,47.4,19.98,414.96
617,1003.22,842.69,56.74,109.3,47.4,19.98,414.96
618,1002.73,843.0,56.74,109.3,47.4,19.98,411.7
619,750.11,799.3,56.74,109.3,47.4,19.98,411.7
620,750.29,799.08,56.74,109.3,47.4,19.98,411.7
621,750.56,799.17,56.74,109.3,47.4,19.98,417.28
622,749.63,798.8,56.74,109.3,47.4,19.98,417.28
623,750.38,799.03,54.69,103.57,49.33,22.19,417.28
624,749.63,875.94,54.69,103.57,49.33,22.19,427.13
625,749.81,798.63,54.69,103.57,49.33,22.19,427.13
626,750.87,799.08,54.69,103.57,49.33,22.19,427.13
627,750.51,799.01,54.69,103.57,49.33,22.19,414.22
628,750.86,799.37,54.69,103.57,49.33,22.19,414.22
629,592.96,728.53,54.69,103.57,49.33,22.19,414.22
630,592.43,728.55,54.69,103.57,49.33,22.19,417.46000000000004
631,720.59,796.52,54.69,103.57,49.33,22.19,417.46000000000004
632,1002.51,844.15,54.69,103.57,49.33,22.19,417.46000000000004
633,1002.59,844.51,54.69,103.57,49.33,22.19,418.88
634,1002.64,844.41,54.69,103.57,49.33,22.19,418.88
635,1008.04,933.6,54.69,103.57,49.33,22.19,418.88
636,1292.55,995.3,54.69,103.57,49.33,22.19,424.89
637,1292.82,995.02,54.69,103.57,49.33,22.19,424.89
638,,953.42,54.69,103.57,49.33,22.19,424.89
639,1292.82,995.62,54.69,103.57,49.33,22.19,431.97
640,1293.09,995.56,54.69,103.57,49.33,22.19,431.97
641,1292.82,995.25,54.69,103.57,49.33,22.19,431.97
642,1292.47,994.96,54.69,103.57,49.33,22.19,426.33
643,1293.09,995.36,54.69,103.57,49.33,22.19,426.33
644,1348.15,971.54,55.67,101.37,47.1,20.87,426.33
645,1013.12,866.34,55.67,101.37,47.1,20.87,441.5
646,576.57,700.14,55.67,101.37,47.1,20.87,441.5
647,576.17,700.5,55.67,101.37,47.1,20.87,441.5
648,576.22,700.0,55.67,101.37,47.1,20.87,443.79
649,576.65,700.05,55.67,101.37,47.1,20.87,443.79
650,576.83,699.98,55.67,101.37,47.1,20.87,443.79
651,576.43,699.92,55.67,101.37,47.1,20.87,461.9
652,575.64,700.11,55.67,101.37,47.1,20.87,461.9
653,576.3,700.11,55.67,101.37,47.1,20.87,461.9
654,716.7,825.24,55.67,101.37,47.1,20.87,409.39
655,717.1,825.38,55.67,101.37,47.1,20.87,409.39
656,575.99,692.57,55.67,101.37,47.1,20.87,409.39
657,575.95,692.49,55.67,101.37,47.1,20.87,418.03999999999996
658,575.99,692.3,55.67,101.37,47.1,20.87,418.03999999999996
659,609.32,698.75,55.6,100.64,49.21,20.38,418.03999999999996
660,609.18,698.6,55.6,100.64,49.21,20.38,418.24
661,608.83,698.36,55.6,100.64,49.21,20.38,418.24
662,610.06,698.56,55.6,100.64,49.21,20.38,418.24
663,609.71,698.7,55.6,100.64,49.21,20.38,439.44
664,609.32,698.57,55.6,100.64,49.21,20.38,439.44
665,610.06,698.67,55.6,100.64,49.21,20.38,439.44
666,855.56,940.0,55.6,100.64,49.21,20.38,431.64
667,1142.3,990.7,55.6,100.64,49.21,20.38,431.64
668,1141.32,990.46,55.6,100.64,49.21,20.38,431.64
669,1141.72,990.37,55.6,100.64,49.21,20.38,435.1
670,1141.46,990.58,55.6,100.64,49.21,20.38,435.1
671,1142.12,990.88,55.6,100.64,49.21,20.38,435.1
672,1141.67,990.42,55.6,100.64,49.21,20.38,403.46000000000004
673,1273.73,1047.32,55.6,100.64,49.21,20.38,403.46000000000004
674,1323.75,1055.87,55.6,100.64,49.21,20.38,403.46000000000004
675,1405.16,1070.68,55.6,100.64,49.21,20.38,398.82
676,1143.13,1155.87,55.6,100.64,49.21,20.38,398.82
677,1009.4,1136.09,55.6,100.64,49.21,20.38,398.82
678,1037.55,1101.71,55.6,100.64,49.21,20.38,396.57000000000005
679,862.9,1070.21,55.6,100.64,49.21,20.38,396.57000000000005
680,861.89,1096.37,55.6,100.64,49.21,20.38,396.57000000000005
681,733.15,1015.17,55.6,100.64,49.21,20.38,382.74
682,733.41,1015.9,55.6,100.64,49.21,20.38,382.74
683,1003.22,1137.46,55.84,112.35,47.7,20.43,382.74
684,1003.88,1139.14,55.84,112.35,47.7,20.43,403.62
685,1003.34,1142.47,55.84,112.35,47.7,20.43,403.62
686,1004.01,1140.26,55.84,112.35,47.7,20.43,403.62
687,1003.75,1137.38,55.84,112.35,47.7,20.43,421.84000000000003
688,1003.79,1134.4,55.84,112.35,47.7,20.43,421.84000000000003
689,1002.95,1058.38,55.84,112.35,47.7,20.43,421.84000000000003
690,1003.83,1140.24,55.84,112.35,47.7,20.43,404.15999999999997
691,1002.9,1135.24,55.84,112.35,47.7,20.43,404.15999999999997
692,1003.48,1134.39,55.84,112.35,47.7,20.43,404.15999999999997
693,1003.39,1139.21,55.84,112.35,47.7,20.43,412.91
694,1003.65,1142.68,55.84,112.35,47.7,20.43,412.91
695,1003.48,1140.49,55.84,112.35,47.7,20.43,412.91
696,1003.39,1142.38,55.84,112.35,47.7,20.43,417.49
697,1299.8,1194.69,55.84,112.35,47.7,20.43,417.49
698,1297.68,1192.11,55.84,112.35,47.7,20.43,417.49
699,1298.39,1191.6,55.84,112.35,47.7,20.43,390.54999999999995
700,1010.38,976.03,55.84,112.35,47.7,20.43,390.54999999999995
701,848.27,832.34,55.84,112.35,47.7,20.43,390.54999999999995
702,848.13,832.05,55.84,112.35,47.7,20.43,402.0
703,848.76,833.04,55.84,112.35,47.7,20.43,402.0
704,848.81,832.51,55.84,112.35,47.7,20.43,402.0
705,754.31,815.91,55.84,112.35,47.7,20.43,369.04999999999995
706,585.45,787.03,55.84,112.35,47.7,20.43,369.04999999999995
707,585.98,787.04,58.39,117.32,48.48,17.88,369.04999999999995
708,585.67,786.9,58.39,117.32,48.48,17.88,409.22
709,767.62,937.17,58.39,117.32,48.48,17.88,409.22
710,1142.2,1001.35,58.39,117.32,48.48,17.88,409.22
711,1141.72,1001.17,58.39,117.32,48.48,17.88,407.90999999999997
712,1141.46,1001.03,58.39,117.32,48.48,17.88,407.90999999999997
713,1141.67,1001.09,58.39,117.32,48.48,17.88,407.90999999999997
714,1347.14,1036.56,58.39,117.32,48.48,17.88,409.58000000000004
715,1347.44,1036.94,58.39,117.32,48.48,17.88,409.58000000000004
716,1348.28,1036.8,58.39,117.32,48.48,17.88,409.58000000000004
717,1348.69,1036.97,58.39,117.32,48.48,17.88,404.31
718,1348.6,1037.21,58.39,117.32,48.48,17.88,404.31
719,1348.33,1036.79,58.39,117.32,48.48,17.88,404.31
720,1348.19,1036.56,58.39,117.32,48.48,17.88,409.09
721,1348.33,1035.57,58.39,117.32,48.48,17.88,409.09
722,1347.89,1036.88,58.39,117.32,48.48,17.88,409.09
723,1348.23,1037.04,58.39,117.32,48.48,17.88,412.19
724,1348.11,1036.49,58.39,117.32,48.48,17.88,412.19
725,1348.5,1036.91,58.39,117.32,48.48,17.88,412.19
726,1347.93,1036.91,58.39,117.32,48.48,17.88,418.86
727,1347.8,1036.83,58.39,117.32,48.48,17.88,418.86
728,1348.6,1037.21,58.39,117.32,48.48,17.88,418.86
729,1347.18,1036.1,58.39,117.32,48.48,17.88,426.91999999999996
730,1348.72,1037.01,58.39,117.32,48.48,17.88,426.91999999999996
731,1347.09,1035.94,58.12,110.15,49.03,18.01,426.91999999999996
732,1347.62,1036.76,58.12,110.15,49.03,18.01,428.57000000000005
733,1347.97,1036.85,58.12,110.15,49.03,18.01,428.57000000000005
734,1348.64,1036.83,58.12,110.15,49.03,18.01,428.57000000000005
735,1348.64,1036.82,58.12,110.15,49.03,18.01,425.11
736,1348.68,1037.09,58.12,110.15,49.03,18.01,425.11
737,1168.06,1005.76,58.12,110.15,49.03,18.01,425.11
738,1168.68,1005.54,58.12,110.15,49.03,18.01,437.57000000000005
739,1165.13,898.46,58.12,110.15,49.03,18.01,437.57000000000005
740,1165.19,1002.79,58.12,110.15,49.03,18.01,437.57000000000005
741,854.92,948.77,58.12,110.15,49.03,18.01,428.66999999999996
742,714.32,816.29,58.12,110.15,49.03,18.01,428.66999999999996
743,715.23,816.62,58.12,110.15,49.03,18.01,428.66999999999996
744,441.61,694.51,58.12,110.15,49.03,18.01,426.49
745,442.35,669.47,58.12,110.15,49.03,18.01,426.49
746,441.88,669.15,58.12,110.15,49.03,18.01,426.49
747,572.01,791.86,58.12,110.15,49.03,18.01,428.93
748,571.6,792.45,58.12,110.15,49.03,18.01,428.93
749,571.86,792.0,58.12,110.15,49.03,18.01,428.93
750,571.75,792.01,58.12,110.15,49.03,18.01,407.37
751,572.1,791.83,58.12,110.15,49.03,18.01,407.37
752,571.57,792.0,58.12,110.15,49.03,18.01,407.37
753,571.6,791.89,58.12,110.15,49.03,18.01,399.67
754,571.46,790.97,58.12,110.15,49.03,18.01,399.67
755,570.74,790.71,57.83,107.77,50.05,17.65,399.67
756,571.42,691.01,57.83,107.77,50.05,17.65,408.52
757,437.02,570.98,57.83,107.77,50.05,17.65,408.52
758,437.19,570.93,57.83,107.77,50.05,17.65,408.52
759,437.52,571.07,57.83,107.77,50.05,17.65,403.23
760,437.72,570.81,57.83,107.77,50.05,17.65,403.23
761,435.89,570.57,57.83,107.77,50.05,17.65,403.23
762,437.37,571.7,57.83,107.77,50.05,17.65,397.77
763,436.66,571.21,57.83,107.77,50.05,17.65,397.77
764,436.98,571.01,57.83,107.77,50.05,17.65,397.77
765,436.37,570.92,57.83,107.77,50.05,17.65,422.59000000000003
766,437.04,570.97,57.83,107.77,50.05,17.65,422.59000000000003
767,437.63,571.22,57.83,107.77,50.05,17.65,422.59000000000003
768,,431.18,57.83,107.77,50.05,17.65,427.75
769,1001.08,779.59,57.83,107.77,50.05,17.65,427.75
770,289.79,455.62,57.83,107.77,50.05,17.65,427.75
771,288.82,455.56,57.83,107.77,50.05,17.65,402.68
772,584.3,794.14,57.83,107.77,50.05,17.65,402.68
773,583.51,793.51,54.44,105.14,50.9,20.63,402.68
774,583.24,868.0,54.44,105.14,50.9,20.63,415.53
775,583.77,868.87,54.44,105.14,50.9,20.63,415.53
776,289.67,642.93,54.44,105.14,50.9,20.63,415.53
777,289.2,642.86,54.44,105.14,50.9,20.63,409.21
778,,615.42,54.44,105.14,50.9,20.63,409.21
779,,615.83,54.44,105.14,50.9,20.63,409.21
780,437.58,676.07,54.44,105.14,50.9,20.63,391.78999999999996
781,861.72,846.92,54.44,105.14,50.9,20.63,391.78999999999996
782,860.57,847.03,54.44,105.14,50.9,20.63,391.78999999999996
783,862.07,847.71,54.44,105.14,50.9,20.63,436.77
784,861.4,847.29,54.44,105.14,50.9,20.63,436.77
785,861.81,847.55,54.44,105.14,50.9,20.63,436.77
786,862.16,847.55,54.44,105.14,50.9,20.63,433.71999999999997
787,861.75,847.62,54.44,105.14,50.9,20.63,433.71999999999997
788,861.75,847.27,54.44,105.14,50.9,20.63,433.71999999999997
789,862.04,847.74,54.44,105.14,50.9,20.63,437.12
790,719.33,719.89,54.44,105.14,50.9,20.63,437.12
791,719.83,720.1,54.44,105.14,50.9,20.63,437.12
792,720.01,719.91,54.44,105.14,50.9,20.63,435.03
793,719.15,720.21,54.44,105.14,50.9,20.63,435.03
794,719.6,720.33,54.44,105.14,50.9,20.63,435.03
795,593.11,697.63,54.44,105.14,50.9,20.63,420.71000000000004
796,592.73,698.1,54.44,105.14,50.9,20.63,420.71000000000004
797,593.23,698.07,60.6,123.72,43.29,17.91,420.71000000000004
798,593.17,697.98,60.6,123.72,43.29,17.91,424.5
799,356.73,557.07,60.6,123.72,43.29,17.91,424.5
800,356.58,556.98,60.6,123.72,43.29,17.91,424.5
801,356.82,557.47,60.6,123.72,43.29,17.91,423.05
802,,406.33,60.6,123.72,43.29,17.91,423.05
803,,284.76,60.6,123.72,43.29,17.91,423.05
804,,284.24,60.6,123.72,43.29,17.91,428.42999999999995
805,,284.2,60.6,123.72,43.29,17.91,428.42999999999995
806,598.27,622.03,60.6,123.72,43.29,17.91,428.42999999999995
807,597.61,621.95,60.6,123.72,43.29,17.91,428.53000000000003
808,598.09,621.84,60.6,123.72,43.29,17.91,428.53000000000003
809,598.24,621.68,60.6,123.72,43.29,17.91,428.53000000000003
810,597.97,621.66,60.6,123.72,43.29,17.91,413.40999999999997
811,597.86,621.52,60.6,123.72,43.29,17.91,413.40999999999997
812,598.29,622.0,60.6,123.72,43.29,17.91,413.40999999999997
813,597.88,621.86,60.6,123.72,43.29,17.91,460.40999999999997
814,598.47,621.92,60.6,123.72,43.29,17.91,460.40999999999997
815,598.35,621.78,60.6,123.72,43.29,17.91,460.40999999999997
816,437.9,681.69,60.6,123.72,43.29,17.91,415.03
817,437.66,681.58,60.6,123.72,43.29,17.91,415.03
818,436.9,681.54,60.6,123.72,43.29,17.91,415.03
819,311.48,551.92,60.6,123.72,43.29,17.91,436.05
820,,515.54,60.6,123.72,43.29,17.91,436.05
821,,515.38,57.17,114.14,45.35,18.57,436.05
822,,515.53,57.17,114.14,45.35,18.57,435.28000000000003
823,299.22,549.75,57.17,114.14,45.35,18.57,435.28000000000003
824,299.04,549.55,57.17,114.14,45.35,18.57,435.28000000000003
825,298.86,649.36,57.17,114.14,45.35,18.57,432.75
826,452.98,851.04,57.17,114.14,45.35,18.57,432.75
827,718.77,893.37,57.17,114.14,45.35,18.57,432.75
828,719.53,895.43,57.17,114.14,45.35,18.57,436.05
829,1012.6,945.97,57.17,114.14,45.35,18.57,436.05
830,869.08,841.59,57.17,114.14,45.35,18.57,436.05
831,446.24,655.53,57.17,114.14,45.35,18.57,435.34
832,,507.55,57.17,114.14,45.35,18.57,435.34
833,,507.4,57.17,114.14,45.35,18.57,435.34
834,,507.9,57.17,114.14,45.35,18.57,409.12
835,,507.09,57.17,114.14,45.35,18.57,409.12
836,,507.54,57.17,114.14,45.35,18.57,409.12
837,,507.03,57.17,114.14,45.35,18.57,431.37
838,,507.64,57.17,114.14,45.35,18.57,431.37
839,436.77,650.67,57.17,114.14,45.35,18.57,431.37
840,438.24,650.78,57.17,114.14,45.35,18.57,429.28
841,576.83,680.88,57.17,114.14,45.35,18.57,429.28
842,872.62,751.1,57.17,114.14,45.35,18.57,429.28
843,1159.08,874.83,57.17,114.14,45.35,18.57,439.67
844,1159.71,874.41,57.17,114.14,45.35,18.57,439.67
845,1159.27,874.28,53.74,108.54,45.17,21.16,439.67
846,1158.43,873.59,53.74,108.54,45.17,21.16,433.84
847,994.2,780.73,53.74,108.54,45.17,21.16,433.84
848,994.29,780.87,53.74,108.54,45.17,21.16,433.84
849,855.88,699.61,53.74,108.54,45.17,21.16,438.07
850,856.14,699.2,53.74,108.54,45.17,21.16,438.07
851,856.05,699.36,53.74,108.54,45.17,21.16,438.07
852,855.39,699.02,53.74,108.54,45.17,21.16,425.36
853,854.6,698.83,53.74,108.54,45.17,21.16,425.36
854,855.35,698.91,53.74,108.54,45.17,21.16,425.36
855,855.08,699.01,53.74,108.54,45.17,21.16,447.46
856,591.95,622.91,53.74,108.54,45.17,21.16,447.46
857,592.69,623.07,53.74,108.54,45.17,21.16,447.46
858,593.45,623.25,53.74,108.54,45.17,21.16,440.95
859,592.7,623.19,53.74,108.54,45.17,21.16,440.95
860,871.34,716.97,53.74,108.54,45.17,21.16,440.95
861,723.47,623.01,53.74,108.54,45.17,21.16,433.67999999999995
862,723.34,622.71,53.74,108.54,45.17,21.16,433.67999999999995
863,437.58,571.58,53.74,108.54,45.17,21.16,433.67999999999995
864,437.49,571.59,53.74,108.54,45.17,21.16,427.7
865,585.63,699.36,53.74,108.54,45.17,21.16,427.7
866,585.98,699.39,53.74,108.54,45.17,21.16,427.7
867,298.63,454.62,53.74,108.54,45.17,21.16,428.51
868,298.23,354.47,53.74,108.54,45.17,21.16,428.51
869,299.21,354.76,57.23,111.59,47.28,18.87,428.51
